Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Jae-sang Jeong,Daegu,K League 1,965,Centre Forward,20,0.19,0.25,0.13,1.96,10,29,4,,0,0.05,0.93,0.93,0.19,0.29,2.89,1.12,0.56,2.05,0.76,0.69,26.31,11.48,0.02,4.48,3.17,5.32,1.29,2.05,67,37,23.6,21.88,5.04,0.37,22.3,63,40,2.15,0.28,0.54,19.78,81,6.28,6.72,0.56,0.56,0,0.19,4.11,4.66,0.09,17,0.09,25,0.56,16,-0.06,0.04,0.05,-0.03,,0
Ji Dong-Won,Suwon FC,K League 1,1980,Centre Forward,33,0.27,0.18,0.08,2.18,13,33,3,,0.09,0.07,0.64,0.64,0.36,0.25,2.82,1.59,0.64,1.55,0.54,0.46,17.68,8.86,0.02,3.27,3.27,5.23,0.89,1.43,27,51,15.27,14.07,3.95,0.45,30.23,75,56,2.23,0.37,0.5,27.55,86,4.4,10.23,0.73,0.73,0,0.36,4.41,5.14,0.09,6,0.18,27,0.59,15,-0.04,0.02,0.02,-0.04,,-0.04
Joo Min-Kyu,Ulsan,K League 1,2558,Centre Forward,34,0.35,0.38,0.17,2.25,16,50,4,0,0.14,0.11,1.09,1.09,0.49,0.5,3.34,0.81,0.39,1.58,0.09,0.65,15.69,7.92,0.01,3.62,2.67,4.05,0.4,0.49,40,35,14.53,17.73,1.83,0.35,17.48,80,88,1.44,0.38,0.7,17.2,80,3.43,6.4,0.49,0.49,0,0.53,6.23,6.72,0.11,0,0.04,33,0.84,12,-0.05,-0.01,0.02,0.18,,0.15
Josépablo Monreal Villablanca,Suwon FC,K League 1,664,Centre Forward,28,0,0.28,0.09,2.98,0,45,5,,0,0.01,0.41,0.41,0,0.29,3.39,0.68,0.41,1.63,0.43,0.48,15.87,5.97,0.01,2.03,1.76,3.25,0.59,1.02,50,54,13.83,14.57,2.58,0.27,15.46,77,83,0.81,0.5,0.6,12.21,76,4.07,5.02,0.41,0.41,0,0.27,6.1,6.51,0,33,0.14,100,0.41,13,-0.05,-0.05,0.01,-0.12,,-0.21
Lee Geon-hee,Gwangju,K League 1,1723,Centre Forward,26,0.26,0.3,0.14,2.14,12,39,5,,0.05,0.03,0.47,0.47,0.31,0.33,2.61,0.99,0.26,1.1,0.69,0.61,17.45,7.73,0.01,3.13,2.3,3.92,0.56,1.24,25,46,15.72,17.59,3.34,0.31,14.52,76,54,0.52,0.38,0.49,15.77,74,4.55,5.38,0.42,0.42,0,0.26,6.42,6.84,0,0,0,0,0.78,5,-0.06,0.02,-0.02,0.01,,-0.06
Lee Jung-Min,Sangju Sangmu,K League 1,672,Centre Forward,25,0.4,0.24,0.12,2.01,20,40,4,,0,0.07,0.94,0.94,0.4,0.32,2.94,0.8,0.27,2.28,0.51,0.37,25.57,12.31,0,2.41,2.68,4.28,0.88,1.39,33,29,23.96,24.72,4.42,0,17.13,70,100,1.47,0.42,0.51,16.87,70,3.93,5.76,0.4,0.4,0,0.54,5.09,5.49,0,0,0.13,50,0.67,19,-0.02,-0.1,0.02,0.06,,-0.04
Masatoshi Ishida,Daejeon Hana Citizen FC,K League 1,1029,Centre Forward,29,0.35,0.3,0.16,1.84,19,52,4,50,0.26,0.12,0.96,0.96,0.61,0.42,2.8,0.87,0.44,2.89,0.2,0.62,23.71,11.02,0.02,3.15,3.15,4.55,0.63,0.83,50,26,21.43,15.28,4.02,0.17,18.2,71,64,2.45,0.36,0.57,20.56,76,5.73,6.21,0.61,0.61,0,0.35,4.72,5.34,0.35,14,0.17,25,0.44,15,-0.01,-0.06,-0.04,0.13,,0.01
Park Jae-Yong,Jeonbuk Motors,K League 1,664,Centre Forward,24,0,0.23,0.12,1.9,0,21,3,100,0.14,0.14,1.08,1.08,0.14,0.38,2.98,0.14,0,0.81,0.18,0.58,17.62,9.35,0,3.25,2.17,4.34,0.9,1.08,50,43,15.73,15.19,2.44,0,21.56,73,80,0.81,0.49,0.73,15.86,85,2.63,5.97,0.14,0.14,0,0.54,5.15,5.29,0,0,0,0,1.08,12,-0.1,0.05,0.02,-0.05,,-0.08
Park Sang-Hyeok,Sangju Sangmu,K League 1,1052,Centre Forward,22,0.34,0.3,0.11,2.82,12,36,4,,0,0.03,0.34,0.34,0.34,0.33,3.17,0.6,0.34,2.48,0.5,0.23,22.59,9.5,0.01,3.51,3.51,5.3,0.9,1.4,17,23,20.02,18.63,4.53,0.26,23.19,72,62,1.28,0.47,0.69,21.22,80,3.67,7.44,0.17,0.17,0,0.43,7.02,7.19,0,0,0,0,0.86,10,-0.13,0.05,0.03,0.02,,-0.03
Seo Jin-Su,Jeju United FC,K League 1,2538,Centre Forward,24,0.11,0.17,0.09,2.02,5,37,3,,0.14,0.18,1.74,1.7,0.25,0.35,3.76,3.05,1.06,3.12,0.32,0.46,17.06,7.52,0.01,3.3,3.48,5.6,0.72,1.04,33,33,15.21,12.92,3.44,0.67,26.7,68,51,3.12,0.3,0.5,30.74,76,4.89,9.65,1.42,1.38,0.04,0.28,4.08,5.46,0.14,35,0.67,38,0.6,20,0.05,0.02,0.01,0,,0.07
