Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Barnabás Varga,Ferencvaros,NB I,602,Centre Forward,31,0.15,0.44,0.19,2.39,6,25,4,100,0.15,0.15,0.75,0.75,0.3,0.59,3.14,1.05,0,0.9,0.64,1.64,16.75,7.63,0.02,3.44,2.54,3.44,0.19,0.83,0,53,15.1,22.24,2.39,0.3,18.99,59,0,1.65,0.51,0.83,15.4,76,4.12,6.43,0.15,0.15,0,0.75,8.08,8.23,0,0,0.3,25,0.75,22,-0.01,-0.03,0.02,-0.05,,-0.07
Bright Edomwonyi,Diósgyőr,NB I,803,Centre Forward,30,0.34,0.27,0.13,2.02,17,56,4,,0.22,0.15,1.01,1.01,0.56,0.41,3.03,2.35,1.34,2.02,0.13,0.87,18.16,6.16,0.01,2.91,1.57,2.69,0.1,0.24,50,36,15.69,9.15,1.79,0.11,13.56,59,29,1.46,0.37,0.58,18.38,70,4.98,4.03,1.01,1.01,0,0.34,5.72,6.72,0,33,0.56,45,0.45,18,0.02,-0.03,-0.03,0.06,,0.03
Donát Bárány,Debrecen,NB I,570,Centre Forward,24,0.32,0.27,0.17,1.58,20,30,2,,0.16,0.05,0.63,0.63,0.47,0.31,2.21,0.79,0.63,2.05,0.23,0.77,16.74,6.79,0.01,3.32,2.21,4.26,0.23,0.46,0,37,15.48,13.07,2.69,0.47,14.22,80,83,1.42,0.36,0.49,15.48,77,3.54,5.21,0,0,0,0.63,5.84,5.84,0.16,,0,0,1.58,8,-0.03,0,-0.03,0.07,,0
Dániel Böde,Paksi FC,NB I,515,Centre Forward,38,0.7,0.46,0.15,3.15,22,44,5,,0,0.08,0.7,0.7,0.7,0.54,3.85,1.75,0.87,2.1,0.18,0.69,7.17,1.57,0,0.87,2.45,3.15,0.66,0.84,0,57,5.59,5.63,1.05,0,21.33,57,33,1.75,0.69,0.83,17.13,72,4.62,6.82,0.7,0.7,0,0.7,9.44,10.14,0,0,0,,1.22,22,-0.16,-0.02,0.02,0.26,,0.09
Gergő Pálinkás,Kecskeméti TE,NB I,780,Centre Forward,28,0.12,0.38,0.14,2.77,4,21,6,,0,0.03,0.58,0.58,0.12,0.41,3.35,2.08,0.81,2.31,0.19,0.32,17.88,6.92,0.02,2.65,3.23,5.08,0.26,0.45,50,47,16.73,14.79,3.46,0.23,18,59,63,1.62,0.34,0.51,16.15,72,5.71,5.88,0.23,0.23,0,0.23,7.38,7.61,0.12,0,0.12,50,0.69,22,-0.06,-0.03,0.05,-0.24,,-0.28
Bence Lenzsér,Paksi FC,NB I,409,Left Centre Back,29,0,0,,0,,,0,,0,0.02,0.22,0.22,0,0.02,0.22,0.44,0.22,0.66,2.67,2.78,18.72,11.45,0.02,5.29,3.08,12.33,2.54,5.21,44,67,14.53,12.48,1.54,0.22,35.01,83,77,3.74,0.14,0.16,26.21,97,5.05,6.39,0.44,0.44,0,0,1.1,1.54,0,100,0.44,100,0,29,0.14,0.22,0.02,,,0.38
Lamin Colley,Puskas,NB I,573,Centre Forward,31,0.94,0.72,0.21,3.45,27,36,6,,0,0,0.16,0.16,0.94,0.72,3.61,1.57,0.78,3.92,0,0.64,18.21,5.96,0.04,2.83,3.14,4.55,0.74,0.74,0,29,14.75,17.09,3.61,0.47,14.28,68,50,1.88,0.41,0.77,22.6,64,6.12,4.55,0.16,0.16,0,0.16,7.22,7.38,0,0,0.16,50,0.31,10,-0.1,0.11,0.16,0.16,,0.34
Marin Jurina,MTK,NB I,642,Centre Forward,31,0.42,0.28,0.09,3.08,14,27,6,,0,0.03,0.84,0.84,0.42,0.31,3.92,0.56,0.28,2.38,0.29,0.86,14.01,5.32,0.03,2.1,2.66,3.64,0,0.29,,53,12.47,13.55,2.38,0.14,20.18,74,33,1.26,0.46,0.59,18.78,74,4.31,6.45,0,0,0,0.14,5.89,5.89,0,,0,,0.42,11,-0.09,0.02,0.01,0.1,,0.04
Marko Rakonjac,Diósgyőr,NB I,580,Centre Forward,25,0.31,0.25,0.11,2.33,13,33,5,,0,0.1,0.62,0.62,0.31,0.35,2.95,1.86,0.93,2.33,0.42,0.8,13.04,4.19,0,3.1,1.71,4.35,0.59,1.01,25,34,11.95,8.24,2.17,0.16,14.75,61,50,1.24,0.36,0.55,17.07,72,4.85,2.95,0,0,0,0.16,4.19,4.19,0.16,,0,0,0.16,18,-0.04,0,0.09,-0.09,,-0.04
Bendegúz Farkas,Nyíregyháza Spartacus,NB I,441,Right Wing Back,20,0,0.02,0.08,0.2,0,100,0,,0.2,0.13,1.02,0.82,0.2,0.14,1.23,0.61,0,0.2,0.48,1.27,16.75,9.8,0.03,3.68,3.27,7.56,0.84,1.32,44,47,14.09,6.49,1.63,0.82,24.92,63,29,3.68,0.12,0.26,17.16,93,3.98,7.15,1.23,1.02,0.2,0,0.82,1.84,0,17,0.2,20,0,40,0.18,0.01,-0.01,0,,0.19
