Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Ellis Taylor,Harrogate Town,League Two,1374,Winger,22,0.2,0.09,0.05,1.83,11,39,3,,0,0.07,1.31,0.85,0.2,0.17,3.14,2.1,0.85,1.38,0.36,0.82,18.8,8.32,0.03,3.47,3.6,7.34,1.02,1.38,57,38,15.79,10.05,2.95,0.2,20.97,57,33,2.1,0.27,0.34,20.44,84,7.08,5.83,1.57,0.72,0.85,0.26,1.9,2.62,0,33,0.66,25,0.33,21,0.05,0.08,0.05,-0.06,,0.11
Jason Daði Svanþórsson,Grimsby Town,League Two,741,Winger,25,0.12,0.11,0.13,0.85,14,14,2,,0.24,0.07,0.97,0.97,0.36,0.18,1.82,1.7,0.61,1.7,0.58,0.93,16.28,7.9,0.01,3.77,3.04,5.59,0.73,1.31,0,15,14.58,12.5,2.79,0.12,18.34,81,44,1.58,0.23,0.32,21.26,77,5.7,6.44,0.36,0.36,0,0.36,3.28,3.64,0,33,0.36,33,0.73,17,-0.02,0.07,0.05,-0.03,,0.07
Ben Tollitt,Morecambe,League Two,1132,Winger,30,0.32,0.12,0.06,1.99,16,32,3,,0.16,0.11,0.95,0.8,0.48,0.23,2.94,1.35,0.64,1.83,0.3,0.27,16.14,8.03,0,2.39,4.06,6.04,0.55,0.85,28,40,14.79,10.31,3.74,0.24,24.49,61,39,2.86,0.31,0.39,24.41,86,7.09,7.24,1.51,1.03,0.48,0.08,2.7,3.74,0,37,0.56,23,0.24,16,0.05,0.08,0.01,0.03,,0.18
Dilan Markanday,Chesterfield,League Two,1070,Winger,23,0.42,0.25,0.12,2.19,19,42,3,,0.08,0.13,1.6,1.01,0.5,0.38,3.79,2.78,1.09,1.85,1.09,0.35,19.27,10.43,0.01,4.63,3.7,5.97,3,4.09,46,15,16.49,22.48,3.79,0.84,28.77,73,34,2.94,0.63,0.76,33.99,84,5.77,11.86,2.61,1.35,1.26,0.59,4.96,6.31,0.25,16,0.76,35,0.84,13,0.07,0.11,0.06,0.02,,0.26
Dominic Sadi,Carlisle United,League Two,876,Winger,21,0.1,0.15,0.07,2.06,5,45,3,,0,0.12,1.34,1.13,0.1,0.26,3.39,2.57,1.44,2.06,0.4,1.68,23.43,9.56,0,5.24,4.21,7.4,2.16,2.56,10,21,20.96,25.33,4.01,0.41,27.23,79,60,2.57,0.39,0.49,31.75,83,5.31,9.87,1.75,1.54,0.21,0.41,2.88,4.42,0,29,0.62,46,0.62,12,0.04,0.1,0.04,-0.06,,0.12
Jack Nolan,Gillingham,League Two,953,Winger,24,0.09,0.14,0.06,2.17,4,17,3,,0.19,0.13,1.23,0.47,0.28,0.26,3.4,1.89,0.76,1.89,0.54,0.87,13.6,6.7,0,2.36,4.34,7.55,0.82,1.37,67,11,11.99,10.53,2.55,0.28,22.94,62,30,2.93,0.46,0.51,25.02,83,6.71,7.27,1.89,0.85,1.04,0,1.51,2.36,0,35,0.66,19,0.09,18,0.06,0.09,0.01,-0.05,,0.11
Kieron Evans,Newport County AFC,League Two,759,Winger,23,0,0.05,0.05,1.19,0,30,2,,0.24,0.1,1.19,1.07,0.24,0.15,2.37,0.95,0.36,0.95,0.53,1.12,20.27,9.6,0.01,3.79,3.08,7.82,0.67,1.2,30,22,18.49,15.52,4.39,0.12,22.52,72,54,2.25,0.13,0.22,22.76,83,6.26,5.1,1.19,0.95,0.24,0,0.95,1.9,0.12,60,0.95,57,0,21,0.11,0.06,0,-0.02,,0.15
Luke Molyneux,Doncaster Rovers,League Two,1277,Winger,27,0.42,0.22,0.08,2.82,15,40,4,,0.28,0.22,1.69,1.27,0.7,0.44,4.51,2.47,0.85,2.33,0.35,0.86,14.73,7.4,0.03,2.89,4.3,6.48,1.23,1.58,33,39,13.11,14.3,2.75,0.28,26.22,61,45,3.31,0.48,0.73,30.02,81,7.14,8.53,2.61,1.2,1.41,0.42,3.74,4.93,0.21,22,0.99,24,0.56,13,0.23,0.13,0.03,0.09,,0.48
Shaun Whalley,Accrington Stanley,League Two,1143,Winger,37,0.24,0.17,0.07,2.28,10,28,3,,0.31,0.16,1.65,0.79,0.55,0.32,3.94,2.76,1.1,2.36,0.8,0.65,19.68,8.74,0.03,2.2,5.59,8.42,1.28,2.08,58,42,15.91,12.17,3.23,0.31,28.11,59,35,4.72,0.38,0.46,28.98,80,6.4,9.61,2.13,0.71,1.42,0.24,2.76,3.46,0,15,0.55,19,0.39,23,0.18,0.15,-0.04,-0.02,,0.27
Aaron Nemane,Milton Keynes Dons,League Two,1252,Full Back,27,0,0.07,0.12,0.65,0,33,1,,0.43,0.28,1.44,1.44,0.43,0.35,2.08,2.59,0.86,2.01,0.89,1.21,15.31,6.04,0.01,2.95,2.88,6.9,1.76,2.65,44,25,13.3,18.81,3.23,0.07,34.72,79,32,3.74,0.41,0.66,36.3,86,4.47,13.23,1.15,1.15,0,0.86,3.23,4.39,0.07,44,0.93,43,0.65,16,0.25,0.11,0.02,-0.03,,0.35
