Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Assists,xG Assisted,Key Passes,Scoring Contribution,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,OP Passes,Passing%,xGBuildup,Carries,Carry%,Carry Length,OP F3 Passes,OP Passes Into Box,Touches In Box,PinTin,Throughballs,Successful Crosses,Crossing%,Pass OBV,D&C OBV,DA OBV,Shot OBV,OBV
Jabir Abdihakim Ali,Västerås SK,Allsvenskan,696,Centre Forward,25,0.13,0.62,0.15,4.14,3,22,8,0,0.06,0.65,0.13,0.52,0.39,1.68,0.14,0.14,19.91,8.15,0,3.36,3.1,4.4,0.3,0.44,0,34,18.49,73,0.76,20.56,77,3.77,6.46,0.65,8.92,9.57,0.13,0,0,-0.09,0.03,-0.02,-0.39,-0.47
Jacob Rinne,Djurgården,Allsvenskan,739,Goalkeeper,31,0,0,,0,,,0,0,0.01,0.12,0,0,0,0,0,0,0,0,0,8.52,0,4.38,0,0,,,20.93,70,0.17,16.19,100,4.31,0.97,0.12,0,0.12,0.12,0,,0.12,0.05,,,-0.18
David Mitov-Nilsson,Sirius,Allsvenskan,694,Goalkeeper,33,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,3.37,0,0,100,,21.64,73,0.19,14.52,100,5.08,0.39,0,0,0,0,0,,0.09,0.05,,,-0.03
Tim Erlandsson,Halmstad,Allsvenskan,1480,Goalkeeper,28,0,0,,0,,,0,0,0,0,0,0.06,0.06,0,0,0,0.18,0.06,0,10.64,0.06,3.35,0,0,,,15.2,51,0.03,11.01,100,5.32,0.12,0,0.06,0.06,0,0,,0.09,0.04,-0.09,,-0.05
Kees Sims,GAIS,Allsvenskan,721,Goalkeeper,21,0,0,,0,,,0,0,0,0,0,0.12,0.12,0,0,0,0.12,0.12,0,6.86,0,3.62,0,0,100,,18.71,64,0.18,12.1,100,5.45,0.37,0,0,0,0,0,,0.12,0.04,0,,0.3
Mergim Krasniqi,GAIS,Allsvenskan,2029,Goalkeeper,32,0,0,0.03,0.09,0,0,0,0,0,0.04,0,0.09,0.09,0,0,0,0.4,0.22,0,7.54,0.04,4.21,0,0,0,0,23.82,65,0.2,19.74,100,5.04,1.55,0,0.09,0.09,0,0,,0.14,0.06,-0.07,0,0.07
Noel Törnqvist,Mjällby,Allsvenskan,2583,Goalkeeper,22,0,0,,0,,,0,0,0,0.03,0,0,0,0,0,0,0.07,0.03,0,6.27,0,3.48,0,0,100,,24.53,85,0.18,20.14,100,3.87,0.03,0,0,0,0,0,,0.05,0.05,0,,0.02
Kristoffer Nordfeldt,AIK,Allsvenskan,2729,Goalkeeper,35,0,0,,0,,,0,0,0,0.03,0,0,0,0,0,0,0.03,0.03,0,6.07,0,2.97,0,0,100,,20.28,72,0.17,15.76,100,5.33,0.49,0.03,0,0.03,0,0,,0.09,0.04,,,-0.12
Warner Hahn,Hammarby,Allsvenskan,1462,Goalkeeper,32,0,0,,0,,,0,0,0,0,0,0,0,0,0,0.18,0.06,0.12,0,7.14,0,3.08,0,0,0,,20,70,0.15,15.26,100,4.32,0.12,0,0,0,0,0,,0.1,0.06,-0.06,,0.48
Oliver Dovin,Hammarby,Allsvenskan,1278,Goalkeeper,22,0,0,,0,,,0,0,0,0.07,0,0.07,0.07,0,0,0.08,0,0,0,8.31,0,3.38,0,0,,,22.96,82,0.12,17.96,100,4.62,0.28,0,0,0,0,0,,0.03,0.08,-0.01,,0.08
